Day,viral_load,hour
0.000694458,5.988413,0.0
0.041666667,5.771684,1.0
0.25,3.77815125,6.0
1.0,5.389451241,24.0
2.0,5.553181663,48.0
3.0,6.414036494,72.0
4.0,6.831482963,96.0
6.0,7.347262495,144.0
8.0,7.541053864,192.0
10.0,7.581172028,240.0
12.0,7.955243851,288.0
14.0,8.117613173,336.0
21.0,8.246071399,504.0
28.0,8.308995526,672.0
35.0,8.338160416,840.0
