Day,viral_load,hour
0.000694458,5.996467,0.0
0.041666667,5.554158,1.0
0.25,3.77815125,6.0
1.0,5.537298365,24.0
2.0,6.138777248,48.0
3.0,6.650069811,72.0
4.0,7.436951624,96.0
6.0,7.830271412,144.0
8.0,7.896607997,192.0
10.0,8.052871996,240.0
12.0,8.372124663,288.0
14.0,8.27784558,336.0
21.0,8.619437821,504.0
28.0,8.635494968,672.0
35.0,8.471916059,840.0
