Day,viral_load,hour
0.000694458,6.209604541,0.0
0.041666667,5.878594495,1.0
0.25,3.77815125,6.0
1.0,5.639285571,24.0
2.0,6.114912061,48.0
3.0,7.405191857,72.0
4.0,8.007818397,96.0
6.0,7.543388856,144.0
8.0,7.90470945,192.0
10.0,8.160458284,240.0
12.0,8.095411694,288.0
14.0,8.329774672,336.0
21.0,8.618720585,504.0
28.0,8.713107505,672.0
35.0,8.53637004,840.0
