Day,viral_load,hour
0.000694458,6.181793,0.0
0.041666667,5.522441,1.0
0.25,3.77815125,6.0
1.0,5.608360038,24.0
2.0,6.232080395,48.0
3.0,6.881126689,72.0
4.0,7.518056888,96.0
6.0,7.851207261,144.0
8.0,7.69608364,192.0
10.0,8.046521319,240.0
12.0,8.150228849,288.0
14.0,8.292407342,336.0
21.0,8.566936127,504.0
28.0,8.428076189,672.0
35.0,8.437886769,840.0
